longitude,latitude,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01
-106.62549,25.87512,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
-106.62549,26.12512,8,9,9,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,9,8
-106.62549,26.37512,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-106.62549,26.62512,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-106.62549,26.87512,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-106.62549,27.12512,10,7,9,7,7,7,7,10,10,10,9,10,10,9,9,9,9,9,9,9,9,9
-106.62549,27.37513,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-106.62549,27.62513,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-106.62549,27.87513,7,10,10,10,10,7,7,7,7,7,7,7,7,10,10,10,7,7,10,10,10,7
-106.62549,28.12513,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,28.37513,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.62549,28.62513,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,28.87513,12,9,9,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,12,10,9,12
-106.62549,29.12513,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,12,10,10,10
-106.62549,29.37513,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,29.62514,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.62549,29.87514,7,7,7,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10
-106.62549,30.12514,7,7,7,7,7,10,10,10,10,10,10,7,10,10,10,10,10,7,7,7,7,10
-106.62549,30.37514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,30.62514,16,16,16,16,16,7,7,7,16,16,16,16,16,16,16,7,7,16,16,16,16,16
-106.62549,30.87514,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
-106.62549,31.12514,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
-106.62549,31.37514,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,7,16,16,16,16,16
-106.62549,31.62514,16,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,31.87515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,32.12515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,32.37515,7,7,7,7,7,7,7,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,32.62515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,32.87515,7,7,7,7,7,16,16,16,16,7,16,16,16,16,16,16,16,16,16,16,16,7
-106.62549,33.12515,7,16,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16
-106.62549,33.37515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,33.62515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,33.87515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,34.12516,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,34.37516,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,34.62516,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,34.87516,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,35.12516,10,7,7,7,7,7,7,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7
-106.62549,35.37516,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.62549,35.62516,16,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.62549,35.87516,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,8
-106.62549,36.12517,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.62549,36.37517,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,25.87512,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
-106.37549,26.12512,8,9,9,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,9,8
-106.37549,26.37512,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-106.37549,26.62512,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-106.37549,26.87512,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,27.12512,10,7,9,7,7,7,7,10,10,10,9,10,10,9,9,9,9,9,9,9,9,9
-106.37549,27.37513,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,27.62513,7,7,7,7,10,10,10,10,10,10,7,7,10,10,10,10,10,10,10,10,10,10
-106.37549,27.87513,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,28.12513,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,28.37513,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,28.62513,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,28.87513,7,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10
-106.37549,29.12513,7,7,7,7,10,10,10,10,10,10,7,7,10,10,7,7,7,7,7,7,7,10
-106.37549,29.37513,7,7,7,7,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10
-106.37549,29.62514,7,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,29.87514,7,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,30.12514,7,7,7,7,7,10,10,10,10,10,10,7,10,10,10,10,10,7,7,7,7,10
-106.37549,30.37514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,30.62514,16,16,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,30.87514,7,16,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,31.12514,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
-106.37549,31.37514,16,16,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,31.62514,13,13,13,13,13,13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,31.87515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,32.12515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,32.37515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,32.62515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,32.87515,7,7,7,7,7,16,16,16,16,7,16,16,16,16,16,16,16,16,16,16,16,7
-106.37549,33.12515,7,16,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16
-106.37549,33.37515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,33.62515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,33.87515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,34.12516,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,34.37516,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,34.62516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,34.87516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,35.12516,10,10,10,10,10,10,10,10,10,7,10,10,13,13,10,10,10,10,10,10,10,10
-106.37549,35.37516,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.37549,35.62516,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,35.87516,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,8
-106.37549,36.12517,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.37549,36.37517,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,25.87512,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
-106.12549,26.12512,9,9,9,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9
-106.12549,26.37512,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-106.12549,26.62512,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,26.87512,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10
-106.12549,27.12512,10,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,27.37513,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,27.62513,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,27.87513,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,28.12513,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,10,10,10,10,10
-106.12549,28.37513,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,28.62513,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10
-106.12549,28.87513,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,29.12513,7,7,7,7,7,10,10,10,10,10,7,7,10,10,10,10,10,10,10,10,10,10
-106.12549,29.37513,7,7,7,7,7,10,10,10,10,10,7,7,10,10,10,10,10,10,10,10,7,10
-106.12549,29.62514,7,7,7,7,7,7,7,7,7,7,10,7,10,10,10,10,10,10,10,10,10,10
-106.12549,29.87514,7,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,30.12514,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,30.37514,7,7,7,7,7,7,10,10,10,10,7,7,7,10,10,10,10,7,7,7,7,7
-106.12549,30.62514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,30.87514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,31.12514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,31.37514,16,12,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,31.62514,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,31.87515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,32.12515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,32.37515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,32.62515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,32.87515,16,16,16,16,16,16,7,7,7,7,7,16,16,7,7,7,16,16,16,16,16,16
-106.12549,33.12515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,33.37515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,33.62515,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,33.87515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-106.12549,34.12516,10,10,7,7,7,7,7,7,7,7,7,10,7,7,10,7,7,7,7,7,7,7
-106.12549,34.37516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,34.62516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,34.87516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,35.12516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,35.37516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,35.62516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,35.87516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,36.12517,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-106.12549,36.37517,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,25.87512,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-105.87548,26.12512,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-105.87548,26.37512,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-105.87548,26.62512,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,26.87512,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10
-105.87548,27.12512,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,27.37513,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,27.62513,10,10,10,7,7,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,27.87513,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,10,10,10,10,10
-105.87548,28.12513,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,10,10,10,10,10
-105.87548,28.37513,7,7,7,10,10,10,10,10,10,10,7,7,10,10,10,10,10,10,10,10,10,10
-105.87548,28.62513,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,28.87513,7,7,7,7,7,7,10,10,10,10,7,7,7,10,10,7,10,10,10,7,7,7
-105.87548,29.12513,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,29.37513,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,29.62514,7,7,7,7,7,7,7,7,7,7,10,7,10,10,10,10,10,10,10,10,10,10
-105.87548,29.87514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,30.12514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,7,7,7
-105.87548,30.37514,7,7,7,7,7,7,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,30.62514,7,7,7,7,7,7,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,30.87514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,31.12514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,31.37514,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,31.62514,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,31.87515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,32.12515,7,7,7,7,7,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,32.37515,7,7,7,7,7,10,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,32.62515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.87548,32.87515,10,10,10,7,7,10,7,10,10,7,10,8,10,10,10,10,10,10,10,10,10,10
-105.87548,33.12515,1,8,7,7,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,7,8,8
-105.87548,33.37515,10,10,10,7,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
-105.87548,33.62515,7,7,7,7,7,10,10,10,10,10,10,7,10,10,10,10,7,10,7,10,7,7
-105.87548,33.87515,7,7,7,7,7,10,10,10,7,7,7,7,10,7,7,7,7,7,7,7,7,7
-105.87548,34.12516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,34.37516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,34.62516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,34.87516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,35.12516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,35.37516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,35.62516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,35.87516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.87548,36.12517,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10
-105.87548,36.37517,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,25.87512,9,9,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,26.12512,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,26.37512,7,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,26.62512,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,26.87512,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,27.12512,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,27.37513,7,7,7,7,7,10,7,10,7,7,7,10,10,10,10,10,10,10,10,7,10,10
-105.62548,27.62513,7,7,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10
-105.62548,27.87513,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,10,10,10,10,10
-105.62548,28.12513,7,7,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,7,10,10,10
-105.62548,28.37513,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
-105.62548,28.62513,7,7,7,7,7,7,7,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,28.87513,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,29.12513,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,29.37513,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,29.62514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,29.87514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,30.12514,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,30.37514,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,30.62514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,30.87514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,31.12514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,31.37514,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,31.62514,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,31.87515,7,7,7,7,7,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,32.12515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,32.37515,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-105.62548,32.62515,10,10,10,7,7,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7
-105.62548,32.87515,10,10,10,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,33.12515,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,33.37515,10,10,10,10,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,33.62515,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,33.87515,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,34.12516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,34.37516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,34.62516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,34.87516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,35.12516,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,35.37516,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.62548,35.62516,1,8,8,8,8,8,8,8,1,8,8,10,10,10,10,10,10,10,8,8,8,10
-105.62548,35.87516,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10
-105.62548,36.12517,8,8,8,8,8,8,8,8,10,8,8,8,8,8,8,10,8,8,8,8,8,10
-105.62548,36.37517,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
-105.37548,25.87512,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.37548,26.12512,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-105.37548,26.37512,7,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
