Month,P,LST,NDVI,SM
1,0.532642715518855,0.23077206192391428,0.13808153886650118,0.09850368369072976
2,0.5895839640233794,0.20243004224419087,0.10825693037188643,0.09972906336054338
3,0.6556641251614693,0.15795982157629423,0.10612533281412727,0.08025072044810927
4,0.7113208002958568,0.152760019302931,0.09293100638799343,0.04298817401321883
5,0.7172687539603083,0.16169215019691277,0.09823042094167689,0.022808674901102062
6,0.6906318973233562,0.1804137368642587,0.11495887502913132,0.013995490783253696
7,0.6021812990163962,0.20078238200304066,0.17004098224479006,0.026995336735773208
8,0.5518537073718555,0.2268203932530123,0.1873848722319609,0.033941027143171335
9,0.5617932381803487,0.23333547945926117,0.15188543753841807,0.052985844821972175
10,0.527913204718682,0.2357788348594123,0.1304067225502879,0.10590123787161781
11,0.5080676685495176,0.23774411774083448,0.13930379326857448,0.11488442044107348
12,0.5060557284188243,0.256073288246931,0.1412593700589912,0.09661161327525337
