Month,P,LST,NDVI,SM
1,0.42370844055175994,0.25673794464370037,0.16674880317445004,0.1528048116300898
2,0.5022745589263523,0.23811365688276923,0.14338203730280846,0.11622974688806997
3,0.5906352415464305,0.1606433633163926,0.12599879917083695,0.12272259596633982
4,0.6910501068844032,0.148379625960431,0.0952965835994956,0.06527368355567016
5,0.7084168500716479,0.1582104021325233,0.09292976403488473,0.04044298376094408
6,0.6587058773857264,0.1592784854866618,0.12592557734326734,0.05609005978434447
7,0.5423153578513892,0.2183414775141896,0.13278285132623593,0.10656031330818523
8,0.5782309416153893,0.1878841633716669,0.14160713724114557,0.0922777577717982
9,0.5339921285193919,0.20427474027189063,0.14357984707510726,0.1181532841336103
10,0.5132030694685628,0.21654467487574122,0.14275358451357417,0.12749867114212193
11,0.4757386073365831,0.2280290451868338,0.15945820554882884,0.13677414192775428
12,0.4053584794862647,0.2679014762001783,0.1804823034801528,0.14625774083340431
