Month,P,LST,NDVI,SM
1,0.5326427155188548,0.23077206192391428,0.13808153886650115,0.0985036836907299
2,0.5895839640233798,0.20243004224419076,0.1082569303718862,0.09972906336054334
3,0.6556641251614693,0.15795982157629412,0.10612533281412707,0.08025072044810941
4,0.7113208002958565,0.15276001930293118,0.09293100638799341,0.04298817401321887
5,0.7172687539603082,0.16169215019691285,0.09823042094167687,0.02280867490110208
6,0.6906318973233563,0.1804137368642588,0.11495887502913123,0.013995490783253715
7,0.602181299016396,0.20078238200304066,0.17004098224479003,0.026995336735773246
8,0.5518537073718554,0.22682039325301248,0.18738487223196088,0.03394102714317131
9,0.5617932381803489,0.23333547945926106,0.15188543753841793,0.052985844821972196
10,0.5279132047186821,0.23577883485941253,0.1304067225502877,0.10590123787161783
11,0.5080676685495178,0.23774411774083454,0.13930379326857423,0.11488442044107333
12,0.5060557284188242,0.25607328824693126,0.14125937005899122,0.09661161327525332
