variable,location,complexity,epochs,MSE_avg,NSE_avg,of_train,of_test
SM,east,high,50,0.017757087819684422,0.6168800812749473,0,0
SM,east,low,50,0.018644196950962935,0.6183199995982558,0,0
SM,east,moderate,50,0.020356789607251045,0.5818299961193346,0,0
SM,east,high,100,0.016600741855271224,0.6261652362103821,0,0
SM,east,low,100,0.020659126135674347,0.5886820935830506,0,0
SM,east,moderate,100,0.01476983754246141,0.6956126915686722,0,0
SM,east,high,150,0.01456727319473921,0.6754472026462526,0,0
SM,east,low,150,0.019856857833764344,0.6273456083921836,0,0
SM,east,moderate,150,0.017359614760756478,0.641386446055962,0,0
SM,west,high,50,0.013765645487907789,0.4623932204810898,0,0
SM,west,low,50,0.01529729378624848,0.4106305472104826,0,0
SM,west,moderate,50,0.013040695175760156,0.49110589184304426,0,0
SM,west,high,100,0.010941432095124968,0.5767775565247144,0,0
SM,west,low,100,0.013239521866825275,0.4820727545700435,0,0
SM,west,moderate,100,0.011380143873474878,0.5540853889166587,0,0
SM,west,high,150,0.010921506090119966,0.5770332306123551,0,0
SM,west,low,150,0.011447286294947777,0.5556018910974974,0,0
SM,west,moderate,150,0.009398839010755923,0.633340732011586,0,0
