variable,location,complexity,epochs,MSE_avg,NSE_avg,of_train,of_test
T,east,high,50,0.004399590585015722,0.9377571733410649,0,0
T,east,low,50,0.005166574408561222,0.927525070313444,0,0
T,east,moderate,50,0.004283457869301645,0.9398542438326596,0,0
T,east,high,100,0.004580838353882922,0.9348197329767753,0,0
T,east,low,100,0.005947273473351478,0.9158045872037489,0,0
T,east,moderate,100,0.004580580404228634,0.9351830225976155,0,0
T,east,high,150,0.005168468017073589,0.9267325053434745,0,0
T,east,low,150,0.005659013741077589,0.9198729659417759,0,0
T,east,moderate,150,0.005032774371448055,0.9286795635672441,0,0
T,west,high,50,0.0035555084159080447,0.9512356333028554,0,0
T,west,low,50,0.004413860677373233,0.9390618704298226,0,0
T,west,moderate,50,0.0032495066381719997,0.955494515164419,0,0
T,west,high,100,0.0029813598484353665,0.9591575589160731,0,0
T,west,low,100,0.0036625950178520777,0.9497405265297199,0,0
T,west,moderate,100,0.002945591667909989,0.959496675728261,0,0
T,west,high,150,0.0033840344373672776,0.953272812062576,0,0
T,west,low,150,0.00403197334744241,0.9442997373464888,0,0
T,west,moderate,150,0.0036787099936060113,0.9491791825324855,0,0
