cell,predictions,config,mse,nse
0,"2022-01-01    5745.455819
2022-02-01    5338.644867
2022-03-01    4928.209820
2022-04-01    4509.334736
2022-05-01    4565.159924
2022-06-01    5072.832592
2022-07-01    5751.828311
2022-08-01    5962.797433
2022-09-01    6056.736961
2022-10-01    5809.359170
2022-11-01    5763.560296
2022-12-01    5544.449610
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (1, 1, 2, 12), 'ct']",8973.728583,0.966243511
1,"2022-01-01    5744.220365
2022-02-01    5292.962442
2022-03-01    4981.969436
2022-04-01    4661.131566
2022-05-01    4641.387134
2022-06-01    5038.632552
2022-07-01    5596.731887
2022-08-01    5772.229377
2022-09-01    5865.027824
2022-10-01    5655.723433
2022-11-01    5638.007715
2022-12-01    5509.152879
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 2), (1, 0, 2, 12), 't']",12479.52333,0.9315549
2,"2022-01-01    5477.699910
2022-02-01    4938.571731
2022-03-01    4443.996125
2022-04-01    4025.369416
2022-05-01    4085.253620
2022-06-01    4473.869217
2022-07-01    5512.693648
2022-08-01    5968.264188
2022-09-01    5925.511609
2022-10-01    5634.815539
2022-11-01    5386.734257
2022-12-01    5161.353955
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (1, 1, 1, 12), 't']",17359.3635,0.968462541
3,"2022-01-01    5463.313734
2022-02-01    4892.628654
2022-03-01    4479.497624
2022-04-01    4127.792616
2022-05-01    4190.125298
2022-06-01    4537.023935
2022-07-01    5176.123228
2022-08-01    5555.873586
2022-09-01    5518.917384
2022-10-01    5289.625595
2022-11-01    5371.142709
2022-12-01    5031.319675
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 0), (2, 0, 2, 12), 'n']",14805.85852,0.945391636
4,"2022-01-01    3776.093978
2022-02-01    3309.979491
2022-03-01    3005.855043
2022-04-01    2689.952127
2022-05-01    2740.971104
2022-06-01    2930.244353
2022-07-01    4787.725182
2022-08-01    5736.923756
2022-09-01    5164.719575
2022-10-01    4730.892598
2022-11-01    4134.375453
2022-12-01    3870.156304
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 2), (1, 0, 0, 12), 'n']",21369.65346,0.977921945
5,"2022-01-01    3336.731977
2022-02-01    3603.755966
2022-03-01    3248.028583
2022-04-01    3042.770733
2022-05-01    2975.393715
2022-06-01    3246.534169
2022-07-01    4642.685010
2022-08-01    5407.823289
2022-09-01    5437.717870
2022-10-01    4819.627714
2022-11-01    3853.115518
2022-12-01    4021.007098
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (2, 1, 2, 12), 'c']",17127.71272,0.98060424
6,"2022-01-01    3918.274059
2022-02-01    3249.548117
2022-03-01    2998.322176
2022-04-01    2619.096234
2022-05-01    2651.370293
2022-06-01    2854.644351
2022-07-01    4641.918410
2022-08-01    5382.192469
2022-09-01    4644.966527
2022-10-01    4139.240586
2022-11-01    4284.514644
2022-12-01    3697.288703
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (0, 1, 0, 12), 'c']",48833.81138,0.947640269
7,"2022-01-01    3076.822178
2022-02-01    3695.395755
2022-03-01    3314.595511
2022-04-01    3071.926066
2022-05-01    3007.720821
2022-06-01    3311.853126
2022-07-01    4611.453537
2022-08-01    5415.820707
2022-09-01    5395.777199
2022-10-01    4808.578147
2022-11-01    3721.225258
2022-12-01    4200.994323
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (2, 1, 2, 12), 'n']",33819.65919,0.960584846
8,"2022-01-01    2281.732310
2022-02-01    2464.720624
2022-03-01    2394.336709
2022-04-01    2246.609012
2022-05-01    2289.694559
2022-06-01    2739.058746
2022-07-01    4429.548623
2022-08-01    6066.814738
2022-09-01    5215.611635
2022-10-01    4374.004217
2022-11-01    3216.168754
2022-12-01    3142.001864
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 2), (1, 0, 2, 12), 'n']",30532.49547,0.979903567
9,"2022-01-01    2746.178661
2022-02-01    2299.175244
2022-03-01    2172.700845
2022-04-01    2152.755040
2022-05-01    2093.164491
2022-06-01    2271.008188
2022-07-01    3435.350335
2022-08-01    4737.386463
2022-09-01    4573.598761
2022-10-01    3848.429247
2022-11-01    3501.554278
2022-12-01    2723.611823
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (2, 1, 2, 12), 'ct']",28946.96338,0.971685247
