cell,predictions,config,mse,nse
0,"2022-01-01    0.036221
2022-02-01    0.031171
2022-03-01    0.016088
2022-04-01    0.006761
2022-05-01    0.016549
2022-06-01    0.150310
2022-07-01    0.276010
2022-08-01    0.246917
2022-09-01    0.210999
2022-10-01    0.076287
2022-11-01    0.045513
2022-12-01    0.037333
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 1), (2, 1, 1, 12), 'n']",0.007730591,0.715506704
1,"2022-01-01    0.034507
2022-02-01    0.025578
2022-03-01    0.016647
2022-04-01    0.006357
2022-05-01    0.015122
2022-06-01    0.168735
2022-07-01    0.291952
2022-08-01    0.281582
2022-09-01    0.241774
2022-10-01    0.079635
2022-11-01    0.040998
2022-12-01    0.029820
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 0), (2, 1, 1, 12), 'n']",0.009431942,0.705197347
2,"2022-01-01    0.033931
2022-02-01    0.024775
2022-03-01    0.018019
2022-04-01    0.007612
2022-05-01    0.017920
2022-06-01    0.171004
2022-07-01    0.281870
2022-08-01    0.287055
2022-09-01    0.218807
2022-10-01    0.081268
2022-11-01    0.034396
2022-12-01    0.031280
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (2, 1, 1, 12), 'n']",0.022883578,0.570045943
3,"2022-01-01    0.021376
2022-02-01    0.024003
2022-03-01    0.014528
2022-04-01    0.010153
2022-05-01    0.015811
2022-06-01    0.125093
2022-07-01    0.243462
2022-08-01    0.235260
2022-09-01    0.188033
2022-10-01    0.052689
2022-11-01    0.023609
2022-12-01    0.028213
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (2, 1, 2, 12), 'n']",0.009805614,0.664075932
4,"2022-01-01    0.021652
2022-02-01    0.021205
2022-03-01    0.013633
2022-04-01    0.009951
2022-05-01    0.014353
2022-06-01    0.109106
2022-07-01    0.217484
2022-08-01    0.206993
2022-09-01    0.165920
2022-10-01    0.049987
2022-11-01    0.023026
2022-12-01    0.025346
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (2, 1, 2, 12), 'n']",0.00343267,0.785749665
5,"2022-01-01    0.013016
2022-02-01    0.007506
2022-03-01    0.002971
2022-04-01    0.001431
2022-05-01    0.004639
2022-06-01    0.088891
2022-07-01    0.197234
2022-08-01    0.199289
2022-09-01    0.153835
2022-10-01    0.035612
2022-11-01    0.011819
2022-12-01    0.013188
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (2, 1, 2, 12), 'n']",0.000270727,0.959353476
6,"2022-01-01    0.011113
2022-02-01    0.008244
2022-03-01    0.005003
2022-04-01    0.002669
2022-05-01    0.006503
2022-06-01    0.078430
2022-07-01    0.188758
2022-08-01    0.184281
2022-09-01    0.133731
2022-10-01    0.035250
2022-11-01    0.014105
2022-12-01    0.011992
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (2, 1, 2, 12), 'c']",0.000183175,0.967416097
7,"2022-01-01    0.047003
2022-02-01    0.023164
2022-03-01    0.020683
2022-04-01    0.027228
2022-05-01    0.028397
2022-06-01    0.143079
2022-07-01    0.222753
2022-08-01    0.180769
2022-09-01    0.082768
2022-10-01    0.070089
2022-11-01    0.041663
2022-12-01    0.025499
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (0, 1, 0, 12), 'ct']",0.004282326,0.718416499
8,"2022-01-01    0.048203
2022-02-01    0.027981
2022-03-01    0.026075
2022-04-01    0.030800
2022-05-01    0.033604
2022-06-01    0.138788
2022-07-01    0.265998
2022-08-01    0.197069
2022-09-01    0.084538
2022-10-01    0.068015
2022-11-01    0.036959
2022-12-01    0.034837
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (0, 1, 0, 12), 'ct']",0.006001889,0.717558669
9,"2022-01-01    0.043758
2022-02-01    0.030388
2022-03-01    0.024177
2022-04-01    0.032062
2022-05-01    0.034013
2022-06-01    0.105240
2022-07-01    0.227392
2022-08-01    0.208401
2022-09-01    0.089775
2022-10-01    0.048256
2022-11-01    0.033643
2022-12-01    0.033725
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 'ct']",0.005917309,0.6989127
10,"2022-01-01    0.041812
2022-02-01    0.037318
2022-03-01    0.023269
2022-04-01    0.030372
2022-05-01    0.026195
2022-06-01    0.099059
2022-07-01    0.215834
2022-08-01    0.234820
2022-09-01    0.096907
2022-10-01    0.053155
2022-11-01    0.029653
2022-12-01    0.031843
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 't']",0.00221294,0.809880066
11,"2022-01-01    0.046037
2022-02-01    0.036695
2022-03-01    0.026755
2022-04-01    0.032736
2022-05-01    0.032339
2022-06-01    0.112422
2022-07-01    0.183287
2022-08-01    0.261632
2022-09-01    0.099179
2022-10-01    0.070017
2022-11-01    0.035077
2022-12-01    0.035927
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 't']",0.003666514,0.770574287
12,"2022-01-01    0.044773
2022-02-01    0.041351
2022-03-01    0.027000
2022-04-01    0.033370
2022-05-01    0.035160
2022-06-01    0.106402
2022-07-01    0.171665
2022-08-01    0.250038
2022-09-01    0.093573
2022-10-01    0.049268
2022-11-01    0.034344
2022-12-01    0.035742
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (0, 1, 0, 12), 't']",0.003452239,0.767387089
13,"2022-01-01    0.033262
2022-02-01    0.030068
2022-03-01    0.014172
2022-04-01    0.015391
2022-05-01    0.022230
2022-06-01    0.099934
2022-07-01    0.149422
2022-08-01    0.213882
2022-09-01    0.078692
2022-10-01    0.040590
2022-11-01    0.020743
2022-12-01    0.034171
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (0, 1, 0, 12), 'ct']",0.003302441,0.669827641
